ID,Name,Variable,Method,Class,Package,File,File Name
CS88,UnusedParameters,opt,getOption,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS89,UnusedParameters,pF,replaceQuantifiedBody,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS90,UnusedParameters,pNumber1,modularCongruence,Mathsat5BitvectorFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5BitvectorFormulaManager.java,Mathsat5BitvectorFormulaManager.java
CS91,UnusedParameters,pF,replaceQuantifiedBody,Mathsat5UnsafeFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5UnsafeFormulaManager.java,Mathsat5UnsafeFormulaManager.java
CS92,UnusedParameters,pNumber2,modularCongruence,Mathsat5BitvectorFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5BitvectorFormulaManager.java,Mathsat5BitvectorFormulaManager.java
CS93,UnusedParameters,pModulo,modularCongruence,Mathsat5RationalFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5RationalFormulaManager.java,Mathsat5RationalFormulaManager.java
CS94,UnusedParameters,pT,isBoundVariable,Mathsat5UnsafeFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5UnsafeFormulaManager.java,Mathsat5UnsafeFormulaManager.java
CS95,UnusedParameters,pElementType,getArrayType,PrincessFormulaCreator,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaCreator.java,PrincessFormulaCreator.java
CS96,UnusedDeclaration,,msat_type_equals,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS97,UnusedDeclaration,,mk_full_set,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
CS98,UnusedDeclaration,,msat_set_option,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS99,UnusedDeclaration,,msat_term_id,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS100,UnusedDeclaration,,mk_concat,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
CS101,UnusedDeclaration,,ast_vector_push,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
CS102,UnusedDeclaration,,mk_exists_const,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
CS103,UnusedDeclaration,,mk_ge,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
CS104,UnusedDeclaration,,tactic_cond,Z3NativeApi,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NativeApi.java,Z3NativeApi.java
